יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
09.05.2018,,3629-324-73,דירה,3.0,,74.0,"1,097,729",
09.05.2018,אלירז שלמה 1,3930-131-347,דירה בבית קומות,3.0,שניה,80.0,"1,725,000",
09.05.2018,מאירוביץ 4,3936-233-28,דירה בבית קומות,3.0,חמישית,57.5,"600,000",
09.05.2018,,3629-322-127,דירה,3.0,,74.0,"1,115,648",
09.05.2018,,3629-322-129,דירה,3.0,,74.0,"1,120,578",
09.05.2018,,3629-324-70,דירה,3.0,,74.0,"1,094,530",
09.05.2018,,3629-324-75,דירה,3.0,,74.0,"1,099,329",
09.05.2018,,3629-324-78,דירה,3.0,,74.0,"1,101,996",
09.05.2018,אלרואי 11,3929-790-5,דירה בבית קומות,3.0,שניה,48.4,"1,130,000",
08.05.2018,האורגן 11,5182-6-27,דירה בבית קומות,3.0,ראשונה,66.6,"1,550,000",80% ב 10.1 שנים
08.05.2018,קרל נטר 19,3928-578-11,דירה בבית קומות,3.0,רביעית,77.75,"1,630,000",69% ב 8.8 שנים
08.05.2018,בלפור 9,3931-47-29,דירה בבית קומות,3.0,שלישית,70.0,"1,219,283",
07.05.2018,,3629-324-61,דירה בבית קומות,3.0,ארבע עשרה,74.0,"1,101,996",
07.05.2018,,3629-322-261,דירה בבית קומות,3.0,רביעית,74.0,"1,120,578",
07.05.2018,הירשפלד 16,3926-896-15,דירה בבית קומות,3.0,רביעית,60.15,"1,250,000",172% ב 15 שנים
07.05.2018, ,4246-82-18,דירה בבית קומות,3.0,שלישית,76.0,"855,000",
06.05.2018,וקסלר משה 4,3935-127-5,דירה בבית קומות,3.0,שניה,48.6,"1,270,000",
06.05.2018,שדה נחום 7,5387-48-4,דירה בבית קומות,3.0,ראשונה,68.0,"1,600,000",106% ב 9.3 שנים
03.05.2018,,3629-322-268,דירה בבית קומות,3.0,שתים עשרה,74.0,"1,115,100",
03.05.2018,רמז 18,3923-223-5,דירה בבית קומות,3.0,שניה,70.32,"1,380,000",
03.05.2018,אריאב חיים 6,7281-12-14,דירה בבית קומות,3.0,שניה,39.6,"1,150,000",233% ב 13.4 שנים
02.05.2018,,3629-322-92,דירה בבית קומות,3.0,עשרים ושתיים,74.0,"1,115,100",
02.05.2018,,3629-322-94,דירה בבית קומות,3.0,עשרים,74.0,"1,123,865",
02.05.2018,יהודה לייב 43,3929-739-1,דירה בבית קומות,3.0,ראשונה,52.73,"1,200,000",41% ב 5.1 שנים
02.05.2018,,3629-324-47,דירה בבית קומות,3.0,,82.0,"1,189,985",
02.05.2018,נורדאו 5,3935-107-8,דירה בבית קומות,3.0,רביעית,58.12,"1,280,000",38% ב 5.7 שנים
02.05.2018,תורה ועבודה 26,7281-33-8,דירה בבית קומות,3.0,שלישית,47.7,"1,260,000",55% ב 3.7 שנים
02.05.2018,,3629-322-95,דירה בבית קומות,3.0,שלוש עשרה,74.0,"1,125,509",
02.05.2018,,3629-322-97,דירה בבית קומות,3.0,עשרים ואחת,74.0,"1,129,344",
02.05.2018,,3629-322-96,דירה בבית קומות,3.0,שבע עשרה,74.0,"1,126,605",
02.05.2018,,3629-322-98,דירה בבית קומות,3.0,עשרים ואחת,74.0,"1,131,535",
02.05.2018,,3629-322-93,דירה בבית קומות,3.0,עשרים ושלוש,74.0,"1,121,126",
02.05.2018,קאפח 3,5114-34-129,דירה בבית קומות,3.0,אחת עשרה,65.0,"1,640,000",107% ב 19.5 שנים
01.05.2018,ברניצקי נתן 26,3926-614-10,דירה בבית קומות,3.0,שלישית,60.47,"1,370,000",15% ב 3.1 שנים
01.05.2018,,3629-322-65,דירה בבית קומות,3.0,תשע עשרה,74.0,"1,124,413",
01.05.2018,,3629-322-66,דירה בבית קומות,3.0,עשרים ושתיים,74.0,"1,125,509",
01.05.2018,,3629-322-67,דירה בבית קומות,3.0,שש עשרה,74.0,"1,128,248",
01.05.2018,,3629-322-68,דירה בבית קומות,3.0,שלישית,82.0,"1,222,474",
01.05.2018,,3629-324-34,דירה בבית קומות,3.0,תשע עשרה,74.0,"1,103,595",
01.05.2018,ברנדיס 16,3929-998-7,דירה בבית קומות,3.0,שלישית,81.15,"1,295,000",223% ב 9 שנים
01.05.2018,,3629-322-64,דירה בבית קומות,3.0,חמישית,74.0,"1,121,126",
01.05.2018,,3629-324-35,דירה בבית קומות,3.0,שניה,82.0,"1,189,985",
30.04.2018,אבשלום 1,3928-556-12,דירה בבית קומות,3.0,שניה,59.39,"1,350,000",46% ב 7.6 שנים
30.04.2018,"צ""ג בנות 13",3929-687-2,דירה בבית קומות,3.0,ראשונה,62.59,"1,360,000",160% ב 15 שנים
30.04.2018,,3629-324-27,דירה בבית קומות,3.0,שמונה עשרה,74.0,"1,097,729",
27.04.2018,השירה העברית 4,5114-44-23,דירה בבית קומות,3.0,שישית,65.4,"1,570,000",
27.04.2018,גרשוני אריה 4,6286-245-5,דירה בבית קומות,3.0,שניה,69.86,"1,570,000",
26.04.2018,קרן קימת 13,3928-109-1,דירה בבית קומות,3.0,ראשונה,67.41,"1,370,000",155% ב 18.9 שנים
26.04.2018,הרב זינגר 9,3935-74-17,דירה בבית קומות,3.0,רביעית,63.7,"1,175,000",
26.04.2018,,3629-322-39,דירה בבית קומות,3.0,שמונה עשרה,74.0,"1,120,578",
26.04.2018,יעקב 61,4247-431-5,דירה בבית קומות,3.0,שלישית,62.5,"1,100,000",25% ב 4.4 שנים
26.04.2018,,3629-322-40,דירה בבית קומות,3.0,עשרים,74.0,"1,123,865",
26.04.2018,,3629-322-41,דירה בבית קומות,3.0,חמישית,82.0,"1,222,474",
25.04.2018,ויניק 20,3926-691-2,דירה בבית קומות,3.0,ראשונה,65.7,"1,400,000",
25.04.2018,גיבשטיין יהושע 17,6288-110-30,דירה בבית קומות,3.0,רביעית,63.09,"1,195,000",49% ב 7.5 שנים
24.04.2018,רמז 1,3926-172-13,דירה בבית קומות,3.0,שניה,78.83,"1,600,000",15% ב 1.2 שנים
30.04.2018,,3629-324-27,דירה בבית קומות,3.0,שמונה עשרה,74.0,"1,097,729",
27.04.2018,גרשוני אריה 4,6286-245-5,דירה בבית קומות,3.0,שניה,69.86,"1,570,000",
27.04.2018,השירה העברית 4,5114-44-23,דירה בבית קומות,3.0,שישית,65.4,"1,570,000",
26.04.2018,קרן קימת 13,3928-109-1,דירה בבית קומות,3.0,ראשונה,67.41,"1,370,000",155% ב 18.9 שנים
26.04.2018,יעקב 61,4247-431-5,דירה בבית קומות,3.0,שלישית,62.5,"1,100,000",25% ב 4.4 שנים
26.04.2018,,3629-322-39,דירה בבית קומות,3.0,שמונה עשרה,74.0,"1,120,578",
26.04.2018,,3629-322-40,דירה בבית קומות,3.0,עשרים,74.0,"1,123,865",
26.04.2018,הרב זינגר 9,3935-74-17,דירה בבית קומות,3.0,רביעית,63.7,"1,175,000",
26.04.2018,,3629-324-274,דירה בבית קומות,3.0,שישית,100.0,"1,189,985",
26.04.2018,,3629-322-41,דירה בבית קומות,3.0,חמישית,82.0,"1,222,474",
25.04.2018,גיבשטיין יהושע 17,6288-110-30,דירה בבית קומות,3.0,רביעית,63.09,"1,195,000",49% ב 7.5 שנים
25.04.2018,ויניק 20,3926-691-2,דירה בבית קומות,3.0,ראשונה,65.7,"1,400,000",
24.04.2018, ,4246-82-36,דירה בבית קומות,3.0,שניה,76.0,"855,000",
24.04.2018,העוגב 7,5182-62-20,דירה בבית קומות,3.0,חמישית,75.0,"1,700,000",61% ב 8.5 שנים
24.04.2018,,3629-322-301,דירה בבית קומות,3.0,תשע עשרה,74.0,"1,120,031",
24.04.2018,,3629-324-18,דירה בבית קומות,3.0,רביעית,82.0,"1,189,985",
24.04.2018,רמז 1,3926-172-13,דירה בבית קומות,3.0,שניה,78.83,"1,600,000",15% ב 1.2 שנים
23.04.2018,יהודה הלוי 74,3930-192-9,דירה בבית קומות,3.0,שלישית,65.34,"1,280,000",89% ב 8.6 שנים
23.04.2018, ,4246-82-54,דירה בבית קומות,3.0,רביעית,75.0,"986,000",
23.04.2018,,3629-324-282,דירה בבית קומות,3.0,שש עשרה,74.0,"1,100,929",
22.04.2018,עין הקורא 30,3928-695-13,דירה בבית קומות,3.0,שלישית,56.94,"1,400,000",53% ב 5.5 שנים
22.04.2018,,3629-324-283,דירה בבית קומות,3.0,אחת עשרה,100.0,"1,095,063",
18.04.2018,מרגולין 31,3929-537-11,דירה בבית קומות,3.0,שניה,47.22,"437,500",
18.04.2018,בן יהודה 5,3936-47-15,דירה בבית קומות,3.0,רביעית,67.08,"1,160,000",130% ב 16.7 שנים
17.04.2018,שניאור זלמן 20,7281-65-11,דירה בבית קומות,3.0,שניה,64.8,"1,140,000",
17.04.2018,"צ""ג בנות 24",3929-499-1,דירה בבית קומות,3.0,ראשונה,64.3,"1,285,000",
16.04.2018,דרובין יואל 12,3926-841-4,דירה בבית קומות,3.0,ראשונה,66.42,"1,560,000",63% ב 8 שנים
16.04.2018,אש שלום 12,7282-56-2,דירה בבית קומות,3.0,ראשונה,40.5,"600,000",
16.04.2018,עין הקורא 21,3934-48-7,דירה בבית קומות,3.0,שלישית,68.2,"1,340,000",
15.04.2018,תורה ועבודה 38,7281-143-5,דירה בבית קומות,3.0,שלישית,62.99,"1,290,000",200% ב 10.3 שנים
15.04.2018,,3629-324-5,דירה בבית קומות,3.0,חמש עשרה,74.0,"1,100,480",
15.04.2018,,3629-322-7,דירה,3.0,תשיעית,74.0,"1,114,653",
15.04.2018,,3629-322-8,דירה בבית קומות,3.0,ארבע עשרה,74.0,"1,124,505",
15.04.2018,,3629-322-9,דירה בבית קומות,3.0,שישית,82.0,"1,221,384",
13.04.2018, ,4246-82-69,דירה בבית קומות,3.0,חמישית,76.0,"855,000",
12.04.2018,ברניצקי נתן 24,3926-615-3,דירה בבית קומות,3.0,ראשונה,57.33,"1,400,000",50% ב 6.1 שנים
12.04.2018,פינס 8,3928-111-7,דירה בבית קומות,3.0,ראשונה,52.0,"1,375,000",67% ב 6.6 שנים
11.04.2018,,3629-322-327,דירה בבית קומות,3.0,שלוש עשרה,100.0,"1,221,384",
10.04.2018,הרב נריה 6,5116-24-9,דירה בבית קומות,3.0,שלישית,72.25,"1,700,000",73% ב 9 שנים
08.04.2018,קרל נטר 6,3928-56-11,דירה בבית קומות,3.0,שלישית,81.0,"1,540,000",15% ב 4.3 שנים
03.04.2018,יהודה לייב 26,3929-643-8,דירה בבית קומות,3.0,רביעית,61.81,"1,300,000",52% ב 4.9 שנים
02.04.2018,קרית ספר 16,3945-645-7,דירה בבית קומות,3.0,שניה,73.02,"1,450,000",73% ב 8.5 שנים
02.04.2018,הרצל 37,3929-8-15,דירה בבית קומות,3.0,חמישית,62.0,"1,425,000",22% ב 2.7 שנים
02.04.2018,אביעזר 3,6286-155-54,דירה בבית קומות,3.0,שביעית,75.77,"1,460,000",
29.03.2018,הגיתית 4,5183-77-38,דירה בבית קומות,3.0,שלישית,67.0,"1,810,000",39% ב 5.4 שנים
29.03.2018, ,7375-84-39,דירה בבית קומות,3.0,שלישית,80.0,"1,863,906",
28.03.2018,"שז""ר זלמן 16",5031-9-4,דירה בבית קומות,3.0,ראשונה,76.47,"1,625,000",20% ב 2 שנים
28.03.2018,בית לחם 8,3930-110-5,דירה בבית קומות,3.0,שניה,79.95,"1,450,000",
28.03.2018, ,7375-84-40,דירה בבית קומות,3.0,ראשונה,74.0,"1,841,999",
27.03.2018,הצפירה 9,7281-148-32,דירה בבית קומות,3.0,רביעית,46.2,"1,050,000",
27.03.2018,משורר השואה 10,7282-149-30,דירה בבית קומות,3.0,שלישית,56.54,"1,140,000",
27.03.2018,מעגל השלום 13,5096-5-54,דירה בבית קומות,3.0,שלישית,76.0,"1,840,000",32% ב 6.6 שנים
26.03.2018,קארו יוסף 5,3930-221-1,דירה בבית קומות,3.0,ראשונה,65.08,"1,200,000",37% ב 6.1 שנים
26.03.2018,מורדי הגטאות 40,4242-526-112,דירה בבית קומות,3.0,רביעית,71.8,"1,428,000",
25.03.2018,ויניק 16,3926-693-5,דירה בבית קומות,3.0,שניה,62.94,"1,390,000",43% ב 7.7 שנים
25.03.2018,גנוסר 35,5387-18-4,דירה בבית קומות,3.0,ראשונה,64.5,"1,525,000",38% ב 3.6 שנים
25.03.2018,התזמורת 56,5183-35-12,דירה בבית קומות,3.0,שלישית,69.0,"1,315,000",
25.03.2018,סולד 12,3928-436-6,דירה בבית קומות,3.0,ראשונה,64.64,"1,330,000",
25.03.2018,ויניק 22,3926-690-4,דירה בבית קומות,3.0,שניה,58.08,"1,345,000",
25.03.2018,אברמוביץ 4,3928-734-4,דירה בבית קומות,3.0,ראשונה,75.36,"1,430,000",
25.03.2018,"שז""ר זלמן 16",5031-9-15,דירה בבית קומות,3.0,רביעית,76.47,"1,500,000",
22.03.2018,שדה נחום 11,5387-51-4,דירה בבית קומות,3.0,ראשונה,69.5,"1,670,000",49% ב 4.8 שנים
22.03.2018,"רש""י 21",3930-159-4,דירה בבית קומות,3.0,שניה,71.0,"1,695,000",
22.03.2018, ,5036-160-20,דירה,3.0,קומה ‎4‏,72.0,"1,700,000",
22.03.2018, ,7375-79-35,דירה בבית קומות,3.0,שישית,75.0,"1,959,999",
21.03.2018,אלרואי 15,3929-792-2,דירה בבית קומות,3.0,ראשונה,48.4,"1,190,000",53% ב 5 שנים
21.03.2018,מבצע קדש 23,3945-659-10,דירה בבית קומות,3.0,שלישית,62.39,"1,477,000",52% ב 4.1 שנים
21.03.2018,ירושלים 29,3931-54-8,דירה בבית קומות,3.0,רביעית,60.47,"1,210,000",
21.03.2018,הקישון 6,3926-1100-21,דירה בבית קומות,3.0,ראשונה,92.07,"1,420,000",
20.03.2018,"ביל""ו 1",3937-16-17,דירה בבית קומות,3.0,שניה,65.62,"1,330,000",60% ב 8.2 שנים
20.03.2018,אנילביץ 41,7281-76-3,דירה בבית קומות,3.0,ראשונה,57.0,"939,000",
19.03.2018,רוטנברג 5,3934-175-5,דירה בבית קומות,3.0,שניה,65.0,"1,300,000",149% ב 19 שנים
19.03.2018,ברנדיס 8,3929-1003-2,דירה בבית קומות,3.0,ראשונה,81.0,"1,500,000",168% ב 16 שנים
18.03.2018,רוטשילד 73,3926-90-14,דירה בבית קומות,3.0,שלישית,64.0,"1,270,000",174% ב 18 שנים
15.03.2018,מבצע נחשון 5,5384-58-18,דירה בבית קומות,3.0,חמישית,75.0,"1,700,000",209% ב 19.5 שנים
15.03.2018,מעגל השלום 19,5096-4-46,דירה בבית קומות,3.0,ראשונה,76.0,"1,900,000",65% ב 8.4 שנים
15.03.2018,הרצל 95,3925-272-12,דירה בבית קומות,3.0,ראשונה,63.39,"1,279,000",
14.03.2018,"עגנון ש""י 5",7281-96-10,דירה בבית קומות,3.0,שניה,36.0,"1,230,000",245% ב 17 שנים
14.03.2018,ברניצקי נתן 26,3926-614-8,דירה בבית קומות,3.0,שניה,60.36,"1,300,000",
14.03.2018,חיל החימוש 18,2717-3-40,דירה בבית קומות,3.0,ראשונה,72.28,"1,435,000",
13.03.2018,הירשפלד 5,3926-702-31,דירה בבית קומות,3.0,רביעית,59.62,"1,485,000",171% ב 10.1 שנים
13.03.2018,הכינור 7,5183-9-56,דירה בבית קומות,3.0,שלישית,70.61,"1,690,000",30% ב 3.6 שנים
13.03.2018,הגיתית 4,5183-77-46,דירה בבית קומות,3.0,חמישית,67.0,"1,732,000",
12.03.2018,התזמורת 56,5183-35-41,דירה בבית קומות,3.0,רביעית,65.05,"1,630,000",31% ב 7.1 שנים
12.03.2018,אלקבץ 1,5114-48-14,דירה בבית קומות,3.0,רביעית,65.4,"1,600,000",
11.03.2018,אביעזר 10,6286-148-64,דירה בבית קומות,3.0,רביעית,65.36,"1,490,000",201% ב 16.2 שנים
11.03.2018,"ריב""ל 4",5114-37-1,דירה בבית קומות,3.0,ראשונה,76.4,"1,575,000",21% ב 2.5 שנים
11.03.2018,ז'בוטינסקי 2,3925-435-18,דירה בבית קומות,3.0,שלישית,67.7,"1,190,000",
09.03.2018,ז'בוטינסקי 37,3926-306-11,דירה בבית קומות,3.0,שניה,59.04,"1,400,000",34% ב 6 שנים
09.03.2018,ביאליק 10,3934-72-19,דירה בבית קומות,3.0,שניה,61.4,"1,100,000",
08.03.2018,האורגן 6,5182-4-14,דירה בבית קומות,3.0,רביעית,62.8,"800,000",
08.03.2018,ירושלים 11,3932-233-2,דירה בבית קומות,3.0,ראשונה,70.2,"1,270,000",
08.03.2018,קלישר 9,5116-56-5,דירה בבית קומות,3.0,ראשונה,65.0,"1,710,000",32% ב 3 שנים
07.03.2018,הגיתית 6,5183-78-17,דירה בבית קומות,3.0,רביעית,67.0,"1,700,000",55% ב 8.7 שנים
07.03.2018,רוטשילד 67,3926-77-9,דירה בבית קומות,3.0,שניה,64.08,"685,000",
04.03.2018,העוגב 6,5182-10-37,דירה בבית קומות,3.0,שלישית,75.0,"1,700,000",47% ב 8 שנים
04.03.2018,הגיתית 8,5183-78-46,דירה בבית קומות,3.0,חמישית,67.0,"1,800,000",20% ב 2.3 שנים
04.03.2018,שרירא שמואל 40,6286-153-28,דירה בבית קומות,3.0,שניה,62.53,"1,340,000",
04.03.2018,הרב עוזיאל 4,3932-307-6,דירה בבית קומות,3.0,שלישית,73.99,"1,537,000",0% ב 1 שנים
01.03.2018,סניור 3,3933-180-16,דירה בבית קומות,3.0,רביעית,64.3,"1,250,000",
01.03.2018,שרירא שמואל 14,6286-145-9,דירה בבית קומות,3.0,שלישית,67.56,"1,400,000",
28.02.2018,קפלנסקי 18,3926-673-9,דירה בבית קומות,3.0,שלישית,59.85,"1,400,000",124% ב 10.9 שנים
28.02.2018,"בית""ר 5",3928-222-8,דירה בבית קומות,3.0,רביעית,57.53,"1,350,000",59% ב 4.3 שנים
28.02.2018,ההדרים 12,3926-138-15,דירה בבית קומות,3.0,רביעית,61.8,"1,197,000",
27.02.2018,משמר הירדן 18,3939-137-1,דירה בבית קומות,3.0,ראשונה,61.77,"1,400,000",159% ב 11 שנים
27.02.2018,רוטנברג 13,3934-162-1,דירה בבית קומות,3.0,ראשונה,65.92,"1,380,000",
27.02.2018,אלירז שלמה 5,3930-131-340,דירה בבית קומות,3.0,חמישית,86.0,"1,648,000",
26.02.2018,רמז 1,3926-172-17,דירה בבית קומות,3.0,שלישית,77.44,"1,335,000",
26.02.2018, ,3929-536-24,דירה בבית קומות,3.0,חמישית,70.0,"1,455,000",
25.02.2018,ז'בוטינסקי 31,3926-464-3,דירה בבית קומות,3.0,שניה,72.06,"1,250,000",
22.02.2018,אריאב חיים 6,7281-12-12,דירה בבית קומות,3.0,שניה,39.6,"1,300,000",191% ב 16.7 שנים
22.02.2018,תנועות הנוער 13,3939-443-28,דירה בבית קומות,3.0,שביעית,84.26,"1,755,000",62% ב 8.3 שנים
22.02.2018,אלרואי 4,3929-787-6,דירה בבית קומות,3.0,שניה,48.4,"1,165,000",
22.02.2018,הגיתית 12,5183-79-30,דירה בבית קומות,3.0,ראשונה,67.0,"1,630,000",32% ב 4.6 שנים
21.02.2018,ז'בוטינסקי 37,3926-306-23,דירה בבית קומות,3.0,רביעית,59.04,"1,195,000",78% ב 6.4 שנים
21.02.2018,הרב נריה 4,5116-24-49,דירה בבית קומות,3.0,שניה,72.25,"862,499",22% ב 3.4 שנים
20.02.2018,החלמונית 4,5036-5-16,דירה בבית קומות,3.0,רביעית,60.9,"1,550,000",172% ב 16 שנים
20.02.2018,הגפן 7,3926-167-5,דירה בבית קומות,3.0,שניה,64.0,"1,380,000",114% ב 14.8 שנים
20.02.2018,בן סרוק 2,5114-47-31,דירה בבית קומות,3.0,שמינית,65.4,"1,650,000",38% ב 5 שנים
18.02.2018,אלירז שלמה 7,3930-131-338,דירה בבית קומות,3.0,חמישית,87.0,"900,000",
18.02.2018,הנרקיס 22,5036-17-9,דירה בבית קומות,3.0,שלישית,60.9,"1,600,000",49% ב 5.9 שנים
18.02.2018,שרף חיים 2,6286-151-5,דירה בבית קומות,3.0,שניה,70.68,"1,250,000",
18.02.2018,אבן גבירול 14,5115-42-6,דירה בבית קומות,3.0,שניה,89.37,"2,150,000",
15.02.2018,הרברט סמואל 5,3930-115-9,דירה בבית קומות,3.0,שלישית,61.14,"1,510,000",256% ב 11 שנים
15.02.2018,החליל 7,5183-29-2,דירה בבית קומות,3.0,קרקע,70.16,"1,800,000",157% ב 14.3 שנים
15.02.2018,עולי הגרדום 68,3926-1238-2,דירה בבית קומות,3.0,ראשונה,65.44,"1,510,000",116% ב 15.3 שנים
15.02.2018,קרית ספר 6,3945-682-11,דירה בבית קומות,3.0,רביעית,68.08,"1,395,000",40% ב 5.5 שנים
14.02.2018,דובנוב 15,3945-554-4,דירה בבית קומות,3.0,ראשונה,50.0,"825,001",
14.02.2018,שפינוזה 6,3928-325-5,דירה בבית קומות,3.0,שלישית,82.28,"1,450,000",39% ב 6.1 שנים
14.02.2018,הכובש 23,3929-1029-15,דירה בבית קומות,3.0,רביעית,59.9,"1,383,000",
13.02.2018,הצפורן 8,5036-37-2,דירה בבית קומות,3.0,ראשונה,62.1,"1,410,000",68% ב 8 שנים
13.02.2018,קרון אהרון 30,3925-297-11,דירה בבית קומות,3.0,שניה,55.2,"1,395,000",55% ב 7.1 שנים
13.02.2018,רבי יהודה הנשיא 19,4247-566-10,דירה בבית קומות,3.0,שניה,80.91,"1,670,000",62% ב 9.1 שנים
12.02.2018,שיבת ציון 10,3937-40-14,דירה בבית קומות,3.0,רביעית,69.31,"1,155,000",83% ב 9.2 שנים
12.02.2018,קפלנסקי 10,3926-713-18,דירה בבית קומות,3.0,רביעית,62.26,"1,475,000",18% ב 3.1 שנים
12.02.2018,הגיתית 14,5183-80-7,דירה בבית קומות,3.0,שניה,67.0,"1,730,000",29% ב 3.1 שנים
12.02.2018,הרב סובהי 7,3932-178-14,דירה בבית קומות,3.0,רביעית,66.3,"1,200,000",62% ב 7 שנים
12.02.2018,טרכטנברג 28,3928-715-14,דירה בבית קומות,3.0,רביעית,59.0,"1,140,000",10% ב 2 שנים
11.02.2018,"עגנון ש""י 14",6095-135-14,דירה בבית קומות,3.0,שניה,39.0,"1,210,000",92% ב 4 שנים
11.02.2018,גאולים 8,5387-5-13,דירה בבית קומות,3.0,שניה,92.3,"1,570,000",36% ב 4 שנים
11.02.2018,תל חי 18,3928-499-12,דירה בבית קומות,3.0,רביעית,57.76,"1,310,000",31% ב 2.5 שנים
08.02.2018,"רמב""ם 43",3930-313-11,דירה בבית קומות,3.0,שלישית,64.0,"1,320,000",177% ב 10.8 שנים
08.02.2018,בן זאב 8,3929-696-21,דירה בבית קומות,3.0,חמישית,58.7,"1,320,000",32% ב 4.7 שנים
08.02.2018,ירושלים 43,3930-332-75,דירה בבית קומות,3.0,ראשונה,63.2,"1,300,000",
06.02.2018,רמז 6,3923-279-6,דירה בבית קומות,3.0,שלישית,62.0,"2,250,000",
06.02.2018,ברניצקי נתן 10,3926-854-3,דירה בבית קומות,3.0,קומה ‎1‏,96.5,"1,750,000",177% ב 18.5 שנים
06.02.2018,ירושלים 45,3930-333-3,דירה בבית קומות,3.0,ראשונה,63.7,"1,300,000",
06.02.2018,ויצמן 8,3928-146-7,דירה בבית קומות,3.0,קרקע,77.8,"1,700,000",
05.02.2018,הנגיד 20,5115-75-12,דירה בבית קומות,3.0,שלישית,65.4,"825,000",26% ב 2.9 שנים
05.02.2018,קרית ספר 16,3945-645-5,דירה בבית קומות,3.0,ראשונה,66.26,"1,405,000",17% ב 3.5 שנים
05.02.2018,קדוש השם 25,3929-661-3,דירה בבית קומות,3.0,ראשונה,75.77,"1,300,000",
04.02.2018,הצפירה 7,7281-148-34,דירה בבית קומות,3.0,רביעית,46.2,"1,300,000",106% ב 9.4 שנים
04.02.2018,הכינור 9,5183-9-83,דירה בבית קומות,3.0,רביעית,70.32,"1,750,000",42% ב 5.3 שנים
02.02.2018,הקוקיה 2,6287-153-14,דירה בבית קומות,3.0,רביעית,65.6,"1,550,000",42% ב 4 שנים
31.01.2018,שבזי שלום 6,6092-81-1,דירת גן,3.0,,91.0,"380,000",
31.01.2018,פינשטיין יונה צבי 15,6288-108-55,דירה בבית קומות,3.0,ראשונה,69.0,"1,480,000",127% ב 10 שנים
31.01.2018,פינס 7,3928-469-11,דירה בבית קומות,3.0,שלישית,64.54,"1,310,000",
30.01.2018,החלמונית 9,5036-24-1,דירה בבית קומות,3.0,ראשונה,78.2,"1,550,000",34% ב 7.2 שנים
30.01.2018,"חב""ד 9",3929-816-10,דירה בבית קומות,3.0,שלישית,80.2,"1,335,000",
29.01.2018,הנחשול 36,5748-2-77,דירה בבית קומות,3.0,שביעית,69.0,"650,000",
29.01.2018,מורשת ישראל 18,5116-82-19,דירה בבית קומות,3.0,חמישית,65.4,"1,625,000",
29.01.2018, ,7375-82-40,דירה בבית קומות,3.0,שביעית,73.0,"1,950,000",
28.01.2018,הצבעוני 11,5036-75-26,דירה בבית קומות,3.0,ראשונה,64.0,"1,462,000",65% ב 8.1 שנים
28.01.2018,קלישר 4,5116-48-3,דירה בבית קומות,3.0,ראשונה,66.0,"1,610,000",
28.01.2018,סמילנסקי 13,3936-276-6,דירה בבית קומות,3.0,שניה,83.43,"1,775,000",
28.01.2018,,7375-82-26,דירה,3.0,ראשונה,73.0,"1,950,000",
25.01.2018,החליל 7,5183-29-10,דירה בבית קומות,3.0,שניה,69.74,"1,570,000",20% ב 3.2 שנים
25.01.2018,וקסלר משה 6,3935-132-18,דירה בבית קומות,3.0,רביעית,62.0,"1,250,000",
25.01.2018,ברניצקי נתן 15,3926-894-6,דירה בבית קומות,3.0,שניה,60.16,"1,368,000",
25.01.2018,אלירז שלמה 1,3930-131-334,דירה,3.0,,87.0,"1,600,000",
24.01.2018,אברמוביץ 6,3928-780-2,דירה בבית קומות,3.0,ראשונה,70.5,"252,000",
24.01.2018,וולפסון 40,3926-863-9,דירה בבית קומות,3.0,שניה,69.81,"1,480,000",69% ב 8.5 שנים
24.01.2018,יוחנן הסנדלר 12,3929-936-6,דירה בבית קומות,3.0,שניה,67.88,"1,660,000",31% ב 16.9 שנים
24.01.2018,מעגל השלום 7,5096-6-62,דירה בבית קומות,3.0,שלישית,76.0,"1,875,000",35% ב 6.9 שנים
24.01.2018,זדל 5,3935-149-6,דירה בבית קומות,3.0,שישית,86.0,"2,200,000",
23.01.2018,בית לחם 4,3930-120-6,דירה בבית קומות,3.0,שניה,61.85,"700,000",48% ב 5.6 שנים
22.01.2018,בן סרוק 2,5114-47-30,דירה בבית קומות,3.0,שמינית,65.4,"1,700,000",13% ב 1.7 שנים
22.01.2018,ויניק 12,3926-695-3,דירה בבית קומות,3.0,ראשונה,58.46,"1,300,000",
21.01.2018,משמר הירדן 31,3939-126-4,דירה בבית קומות,3.0,שניה,64.1,"1,400,000",126% ב 19.2 שנים
19.01.2018,שוחט מניה 5,3926-708-6,דירה בבית קומות,3.0,ראשונה,64.44,"1,530,000",70% ב 6.7 שנים
17.01.2018,בן זאב 6,3929-698-3,דירה בבית קומות,3.0,ראשונה,61.82,"1,350,000",
16.01.2018,ויניק 14,3926-694-14,דירה בבית קומות,3.0,רביעית,67.64,"1,300,000",152% ב 15.8 שנים
16.01.2018,המורן 9,5036-38-16,דירה בבית קומות,3.0,ראשונה,64.9,"1,465,000",133% ב 13.5 שנים
16.01.2018,הגדוד העברי 48,3929-507-8,דירה בבית קומות,3.0,שניה,70.25,"1,000,000",
15.01.2018,ירושלים 60,3930-340-22,דירה בבית קומות,3.0,רביעית,63.2,"1,300,000",290% ב 19.8 שנים
15.01.2018,האחים אוסטשינסקי 19,3925-229-3,דירה בבית קומות,3.0,קרקע,39.61,"1,090,000",
